id_array	id_query
dma23	sn273
dma20	sn184
dma19	sn2532
dma18	sn2699
dma17	sn1778
dma16	sn2007
dma15	sn4677
dma14	sn1277
dma13	sn2937
dma35	sn3084
dma34	sn1217
dma33	sn1168
dma32	sn2248
dma31	sn870
dma5246	sn1594
dma30	sn3922
dma29	sn3723
dma28	sn1011
dma27	sn833
dma26	sn178
dma25	sn3412
dma47	sn3064
dma46	sn3892
dma45	sn3085
dma44	sn1334
dma43	sn197
dma5216	sn3087
dma5203	sn533
dma40	sn3422
dma39	sn1911
dma38	sn640
dma37	sn2738
dma59	sn380
dma58	sn2724
dma56	sn2203
dma55	sn3907
dma54	sn4331
dma53	sn2617
dma52	sn4337
dma51	sn3088
dma50	sn4678
dma71	sn2236
dma70	sn4679
dma69	sn198
dma68	sn1908
dma67	sn1799
dma66	sn784
dma64	sn1226
dma63	sn4680
dma62	sn4681
dma61	sn3713
dma83	sn3091
dma82	sn3423
dma80	sn516
dma79	sn2489
dma76	sn3004
dma95	sn824
dma94	sn720
dma93	sn1755
dma92	sn1998
dma91	sn761
dma90	sn1601
dma89	sn1371
dma88	sn39
dma87	sn894
dma86	sn4215
dma85	sn545
dma118	sn1264
dma117	sn2127
dma116	sn4219
dma113	sn662
dma112	sn3550
dma111	sn1113
dma110	sn1649
dma131	sn524
dma130	sn4425
dma129	sn2394
dma128	sn711
dma127	sn3724
dma126	sn164
dma124	sn3073
dma123	sn1352
dma122	sn1794
dma142	sn3424
dma141	sn904
dma140	sn3843
dma139	sn2543
dma138	sn3552
dma137	sn1237
dma135	sn1436
dma134	sn1586
dma155	sn624
dma154	sn1167
dma153	sn4357
dma152	sn374
dma149	sn4015
dma148	sn443
dma147	sn395
dma146	sn1865
dma168	sn3099
dma167	sn914
dma165	sn815
dma164	sn2143
dma163	sn3959
dma162	sn1616
dma161	sn4683
dma160	sn4151
dma159	sn3818
dma180	sn2544
dma178	sn4394
dma176	sn146
dma175	sn236
dma174	sn2104
dma173	sn51
dma172	sn230
dma171	sn3425
dma170	sn2972
dma192	sn722
dma191	sn4458
dma190	sn3063
dma189	sn2219
dma188	sn1751
dma187	sn1757
dma184	sn139
dma183	sn908
dma182	sn3858
dma203	sn2839
dma202	sn2838
dma201	sn2836
dma200	sn3044
dma199	sn1236
dma198	sn2280
dma197	sn3426
dma196	sn4684
dma194	sn3797
dma193	sn897
dma215	sn3981
dma213	sn620
dma212	sn1856
dma211	sn2202
dma210	sn782
dma209	sn2400
dma208	sn892
dma207	sn2402
dma206	sn2696
dma205	sn1056
dma227	sn3663
dma226	sn2511
dma225	sn4112
dma224	sn1874
dma222	sn3427
dma221	sn3103
dma220	sn659
dma219	sn2769
dma218	sn1519
dma217	sn2944
dma239	sn558
dma238	sn4142
dma237	sn3104
dma236	sn3105
dma234	sn1749
dma233	sn1824
dma232	sn737
dma231	sn2335
dma230	sn2336
dma229	sn3428
dma251	sn2981
dma250	sn1420
dma249	sn3106
dma247	sn145
dma246	sn1027
dma5187	sn726
dma245	sn1021
dma244	sn979
dma243	sn3949
dma242	sn2684
dma5239	sn2491
dma5238	sn991
dma241	sn3553
dma262	sn2926
dma260	sn1121
dma259	sn841
dma258	sn1294
dma254	sn1797
dma253	sn2265
dma275	sn539
dma273	sn1220
dma272	sn1122
dma271	sn4312
dma269	sn1510
dma5254	sn4201
dma266	sn1892
dma299	sn1157
dma298	sn2975
dma297	sn10
dma296	sn791
dma295	sn834
dma294	sn428
dma293	sn2191
dma291	sn3429
dma290	sn1123
dma312	sn2443
dma311	sn3717
dma309	sn2740
dma308	sn4060
dma307	sn3107
dma306	sn637
dma305	sn2794
dma304	sn1713
dma303	sn3534
dma324	sn3069
dma323	sn1486
dma321	sn2990
dma320	sn3055
dma319	sn360
dma318	sn432
dma317	sn1964
dma315	sn4685
dma314	sn342
dma335	sn320
dma334	sn159
dma331	sn2913
dma330	sn2649
dma328	sn2411
dma327	sn3943
dma326	sn1924
dma348	sn2800
dma347	sn3108
dma346	sn4686
dma345	sn1596
dma344	sn3767
dma343	sn1898
dma342	sn4117
dma341	sn1704
dma340	sn1296
dma339	sn3554
dma338	sn858
dma359	sn219
dma358	sn3868
dma356	sn751
dma354	sn180
dma353	sn4253
dma351	sn594
dma350	sn1826
dma372	sn4466
dma371	sn1325
dma370	sn1345
dma369	sn3860
dma368	sn426
dma367	sn2853
dma366	sn3109
dma365	sn3110
dma364	sn4687
dma363	sn2757
dma362	sn1267
dma406	sn3111
dma404	sn2622
dma403	sn1271
dma402	sn696
dma401	sn2545
dma398	sn1102
dma397	sn2142
dma419	sn651
dma418	sn1715
dma417	sn1946
dma416	sn4297
dma415	sn3555
dma414	sn997
dma413	sn1192
dma412	sn3112
dma410	sn4273
dma409	sn3113
dma431	sn1124
dma430	sn1363
dma429	sn3114
dma428	sn879
dma427	sn3808
dma426	sn2529
dma425	sn4406
dma424	sn234
dma422	sn687
dma421	sn2509
dma443	sn3115
dma442	sn3809
dma441	sn1443
dma440	sn71
dma439	sn1529
dma438	sn1798
dma437	sn1523
dma435	sn1207
dma434	sn3116
dma433	sn3556
dma455	sn157
dma454	sn1125
dma453	sn3117
dma452	sn495
dma451	sn103
dma450	sn241
dma449	sn1762
dma448	sn409
dma447	sn2254
dma445	sn2432
dma467	sn2387
dma466	sn2224
dma465	sn2375
dma464	sn2034
dma463	sn2245
dma5252	sn2895
dma461	sn614
dma460	sn203
dma459	sn4688
dma458	sn3119
dma479	sn4327
dma477	sn2074
dma474	sn1239
dma473	sn1457
dma470	sn1534
dma469	sn2333
dma503	sn2910
dma502	sn799
dma501	sn3664
dma500	sn1477
dma498	sn1039
dma497	sn999
dma496	sn9
dma495	sn1004
dma494	sn3066
dma515	sn421
dma514	sn3833
dma513	sn2796
dma512	sn3430
dma511	sn2547
dma510	sn73
dma508	sn3120
dma507	sn758
dma506	sn3687
dma528	sn2912
dma527	sn772
dma526	sn1401
dma525	sn3431
dma524	sn435
dma522	sn1212
dma520	sn4689
dma519	sn4481
dma518	sn2430
dma540	sn3880
dma539	sn3881
dma536	sn4690
dma534	sn3123
dma533	sn1340
dma532	sn172
dma531	sn2326
dma530	sn2175
dma552	sn1320
dma551	sn3124
dma550	sn3747
dma549	sn753
dma548	sn1080
dma547	sn4691
dma546	sn290
dma545	sn2721
dma543	sn2548
dma542	sn2397
dma563	sn3125
dma562	sn2197
dma561	sn2657
dma560	sn612
dma559	sn4134
dma558	sn152
dma557	sn1362
dma556	sn538
dma555	sn161
dma554	sn2228
dma576	sn114
dma575	sn448
dma574	sn2146
dma573	sn3010
dma570	sn3557
dma569	sn173
dma568	sn4456
dma567	sn4294
dma566	sn3432
dma586	sn685
dma585	sn2112
dma584	sn188
dma583	sn13
dma581	sn4021
dma580	sn932
dma579	sn4239
dma578	sn2207
dma577	sn3126
dma599	sn1228
dma598	sn2785
dma596	sn54
dma595	sn2714
dma593	sn1311
dma592	sn1723
dma590	sn818
dma589	sn781
dma611	sn3558
dma610	sn1535
dma609	sn1253
dma608	sn3433
dma607	sn2350
dma606	sn3127
dma605	sn3128
dma604	sn3688
dma603	sn3129
dma601	sn2739
dma623	sn2044
dma5251	sn2745
dma622	sn1107
dma620	sn903
dma619	sn137
dma617	sn3751
dma616	sn1637
dma615	sn452
dma614	sn3003
dma613	sn4246
dma634	sn967
dma633	sn3903
dma631	sn2549
dma630	sn3906
dma628	sn968
dma627	sn4298
dma626	sn617
dma625	sn3130
dma647	sn797
dma642	sn3898
dma641	sn4236
dma640	sn2985
dma638	sn1711
dma637	sn2241
dma659	sn1582
dma658	sn1655
dma657	sn4011
dma655	sn310
dma654	sn2859
dma653	sn1726
dma651	sn1801
dma650	sn1780
dma649	sn506
dma684	sn2811
dma683	sn2934
dma682	sn3019
dma680	sn3945
dma679	sn3992
dma678	sn2643
dma677	sn3029
dma676	sn1859
dma675	sn3133
dma696	sn3421
dma695	sn873
dma693	sn875
dma691	sn3434
dma690	sn440
dma689	sn2539
dma688	sn2122
dma687	sn2888
dma686	sn3561
dma708	sn4222
dma707	sn425
dma706	sn1126
dma705	sn1235
dma703	sn2261
dma702	sn74
dma701	sn340
dma700	sn3756
dma699	sn2897
dma698	sn2171
dma720	sn1173
dma719	sn2447
dma718	sn3562
dma717	sn4203
dma716	sn2414
dma714	sn3977
dma713	sn3134
dma712	sn1551
dma710	sn580
dma732	sn3971
dma731	sn207
dma730	sn462
dma729	sn2659
dma728	sn3563
dma727	sn652
dma726	sn400
dma724	sn1350
dma723	sn3564
dma722	sn2550
dma742	sn3
dma740	sn3419
dma739	sn2827
dma738	sn3083
dma737	sn2020
dma736	sn4338
dma756	sn2471
dma755	sn1845
dma754	sn3136
dma753	sn3137
dma752	sn668
dma751	sn1175
dma750	sn3768
dma749	sn2413
dma748	sn4366
dma747	sn3138
dma746	sn3976
dma790	sn3139
dma788	sn1552
dma787	sn2837
dma786	sn1676
dma784	sn206
dma783	sn463
dma782	sn1786
dma781	sn2551
dma803	sn1248
dma802	sn4217
dma801	sn2778
dma800	sn69
dma799	sn28
dma798	sn2439
dma797	sn3769
dma796	sn4187
dma795	sn848
dma794	sn4399
dma793	sn585
dma815	sn3436
dma814	sn4192
dma813	sn2627
dma812	sn779
dma811	sn1589
dma810	sn205
dma808	sn3929
dma807	sn324
dma806	sn168
dma805	sn862
dma827	sn3565
dma826	sn528
dma825	sn1522
dma824	sn3140
dma823	sn2882
dma822	sn951
dma821	sn1045
dma820	sn3141
dma818	sn2746
dma817	sn2971
dma839	sn3544
dma838	sn1654
dma837	sn1884
dma836	sn143
dma835	sn4487
dma833	sn2029
dma831	sn2317
dma830	sn1622
dma851	sn3838
dma850	sn4409
dma849	sn4299
dma848	sn1591
dma846	sn4111
dma5215	sn1724
dma5213	sn1262
dma5212	sn3566
dma5211	sn3542
dma5210	sn127
dma5224	sn4272
dma5223	sn175
dma5222	sn3143
dma5221	sn2002
dma5219	sn2293
dma844	sn3567
dma843	sn3568
dma842	sn708
dma841	sn105
dma863	sn190
dma862	sn2889
dma861	sn445
dma860	sn1086
dma859	sn3569
dma858	sn3437
dma857	sn3438
dma856	sn3411
dma855	sn2506
dma854	sn1685
dma853	sn2896
dma888	sn1759
dma887	sn2980
dma886	sn902
dma885	sn1408
dma884	sn734
dma883	sn507
dma882	sn4181
dma881	sn48
dma880	sn1040
dma879	sn3826
dma878	sn3666
dma900	sn1563
dma899	sn257
dma896	sn1632
dma895	sn1442
dma894	sn1003
dma893	sn1077
dma892	sn45
dma891	sn4170
dma912	sn1053
dma911	sn3682
dma910	sn124
dma909	sn216
dma908	sn3045
dma906	sn1256
dma905	sn4319
dma903	sn4118
dma902	sn3904
dma924	sn133
dma923	sn4221
dma922	sn1208
dma921	sn227
dma920	sn1933
dma919	sn3144
dma918	sn725
dma917	sn120
dma916	sn4271
dma915	sn3757
dma914	sn1153
dma936	sn3886
dma935	sn3570
dma933	sn3049
dma932	sn2428
dma931	sn1481
dma930	sn312
dma929	sn2134
dma928	sn1573
dma927	sn1347
dma926	sn2686
dma948	sn4692
dma946	sn1498
dma945	sn2120
dma944	sn3414
dma943	sn235
dma941	sn352
dma940	sn2082
dma938	sn4381
dma960	sn1854
dma959	sn3571
dma958	sn990
dma957	sn1888
dma956	sn4218
dma955	sn1705
dma954	sn1022
dma952	sn1915
dma951	sn4693
dma950	sn587
dma971	sn3145
dma970	sn1199
dma969	sn1082
dma968	sn1020
dma967	sn657
dma966	sn3439
dma965	sn1791
dma964	sn1867
dma962	sn3146
dma983	sn488
dma981	sn2332
dma980	sn1644
dma979	sn1886
dma977	sn3147
dma976	sn3007
dma975	sn3862
dma973	sn2119
dma995	sn1288
dma994	sn770
dma993	sn3887
dma991	sn75
dma990	sn3440
dma989	sn3835
dma988	sn1754
dma986	sn457
dma985	sn658
dma1006	sn3441
dma5249	sn4288
dma1004	sn311
dma1003	sn566
dma1002	sn1538
dma1001	sn641
dma1000	sn1127
dma998	sn962
dma997	sn3914
dma1019	sn4467
dma1018	sn1218
dma1017	sn1487
dma1016	sn2312
dma1015	sn1731
dma1014	sn2722
dma1013	sn1920
dma1012	sn1058
dma1011	sn705
dma1010	sn3770
dma1009	sn1263
dma1031	sn300
dma1030	sn3442
dma1029	sn2200
dma1028	sn2797
dma1027	sn1384
dma1025	sn122
dma1024	sn2346
dma1023	sn2153
dma1021	sn1302
dma1043	sn2780
dma1042	sn3148
dma1041	sn1042
dma1040	sn1375
dma1039	sn3149
dma1038	sn2906
dma1037	sn1482
dma1036	sn1091
dma1035	sn729
dma1034	sn2995
dma1033	sn2991
dma1068	sn55
dma1067	sn4404
dma1066	sn3888
dma1065	sn76
dma1064	sn822
dma1063	sn1800
dma1062	sn4169
dma1061	sn364
dma1060	sn660
dma1059	sn2905
dma1058	sn2621
dma1080	sn3150
dma1079	sn1224
dma1078	sn3151
dma1077	sn182
dma5264	sn3152
dma1075	sn316
dma1074	sn1665
dma1073	sn2498
dma1072	sn3443
dma1071	sn1765
dma1070	sn1963
dma1092	sn3153
dma1091	sn3154
dma1088	sn2358
dma1087	sn3548
dma1086	sn608
dma1085	sn62
dma1084	sn721
dma1083	sn134
dma1082	sn4483
dma1104	sn3444
dma1103	sn246
dma1100	sn1785
dma1099	sn1584
dma1098	sn2752
dma1097	sn1324
dma1096	sn3445
dma1095	sn47
dma1116	sn3156
dma1115	sn2463
dma1114	sn1903
dma1113	sn582
dma1112	sn4363
dma1111	sn4205
