StrainID1	ORF1	StrainID2	ORF2	DMstrainID	SM1strainID	SM2strainID	Annotation
sn370	YJL053W	dma2078	YHR012W	tm2494	tm3124	tm2809	PPI controls
sn1799	YAR003W	dma430	YBR258C	tm2656	tm3286	tm2971	PPI controls
sn1211	YHR119W	dma1195	YDR469W	tm2657	tm3287	tm2972	PPI controls
sn1471	YJL030W	dma1666	YGL086W	tm2658	tm3288	tm2973	PPI controls
sn1605	YPR023C	dma3677	YMR075W	tm2660	tm3411	tm2975	PPI controls
sn1828	YPR189W	dma1731	YGL213C	tm2661	tm3291	tm2976	PPI controls
sn208	YHR142W	dma2502	YJL099W	tm2662	tm3292	tm2977	PPI controls
sn4420	YLR172C	dma2901	YKL191W	tm2663	tm3293	tm2978	PPI controls
sn1471	YJL030W	dma2459	YJL013C	tm2666	tm3296	tm2981	PPI controls
sn1559	YLR200W	dma4055	YNL153C	tm2667	tm3413	tm2982	PPI controls
sn1196	YGL163C	dma885	YDR076W	tm2668	tm3298	tm2983	PPI controls
sn588	YOL117W	dma950	YDR179C	tm2669	tm3299	tm2984	PPI controls
sn1654	YDR004W	dma4760	YOR368W	tm2694	tm3324	tm3009	POMBE
sn1421	YOR368W	dma14	YAL015C	tm2695	tm3325	tm3010	POMBE
sn1476	YOR058C	dma2472	YJL030W	tm2696	tm3326	tm3011	POMBE
sn1828	YPR189W	dma579	YCR073W-A	tm2698	tm3328	tm3013	POMBE
sn1277	YAL015C	dma838	YDR004W	tm2700	tm3330	tm3015	POMBE
sn1605	YPR023C	dma2953	YKR048C	tm2705	tm3335	tm3020	POMBE
sn802	YMR015C	dma4209	YNR008W	tm3437	tm3332	tm3017	POMBE
sn4452	YHR144C	dma1761	YGL231C	tm2417	tm3047	tm2732	Tspace
sn199	YGR166W	dma2210	YHR181W	tm2418	tm3048	tm2733	Tspace
sn365	YIL005W	dma2914	YKL207W	tm2420	tm3050	tm2735	Tspace
sn390	YHL002W	dma3386	YLR360W	tm2421	tm3051	tm2736	Tspace
sn90	YLL023C	dma3612	YML103C	tm2422	tm3052	tm2737	Tspace
sn289	YHR193C	dma3680	YMR070W	tm2423	tm3053	tm2738	Tspace
sn354	YKL010C	dma3682	YMR067C	tm2424	tm3054	tm2739	Tspace
sn7	YJR125C	dma3963	YNL051W	tm2425	tm3055	tm2740	Tspace
sn295	YKL209C	dma3989	YNL078W	tm2426	tm3056	tm2741	Tspace
sn410	YLR119W	dma4161	YNL294C	tm2427	tm3057	tm2742	Tspace
sn405	YFR021W	dma4182	YNL325C	tm2428	tm3415	tm2743	Tspace
sn2	YKL051W	dma4349	YOL063C	tm2429	tm3059	tm2744	Tspace
sn59	YJL123C	dma4384	YOL111C	tm2430	tm3060	tm2745	Tspace
sn398	YLR085C	dma4446	YOR023C	tm2431	tm3061	tm2746	Tspace
sn2117	YNL314W	dma4455	YOR038C	tm2432	tm3062	tm2747	Tspace
sn467	YNR049C	dma4971	YPL259C	tm2433	tm3063	tm2748	Tspace
sn383	YMR004W	dma5083	YPR079W	tm2434	tm3064	tm2749	Tspace
tsq1260	YIL144W	dma1018	YDR254W	tm2435	tm3065	tm2750	Tspace
tsq887	YBR087W	dma1107	YDR386W	tm2436	tm3066	tm2751	Tspace
tsq495	YMR033W	dma1461	YER164W	tm2438	tm3068	tm2753	Tspace
tsq1013	YPR133C	dma1694	YGL161C	tm2439	tm3069	tm2754	Tspace
tsq131	YDL017W	dma2190	YHR154W	tm2441	tm3071	tm2756	Tspace
tsq228	YLR347C	dma2216	YHR167W	tm2442	tm3072	tm2757	Tspace
tsq908	YOR335C	dma2541	YJL147C	tm2443	tm3073	tm2758	Tspace
tsq727	YOL034W	dma258	YBR098W	tm2444	tm3074	tm2759	Tspace
tsq333	YGL155W	dma2676	YJR088C	tm2445	tm3075	tm2760	Tspace
tsq1204	YGR002C	dma2766	YKL038W	tm2447	tm3077	tm2762	Tspace
tsq212	YOR075W	dma3057	YLL038C	tm2448	tm3078	tm2763	Tspace
tsq742	YGL001C	dma3203	YLR102C	tm2449	tm3079	tm2764	Tspace
tsq747	YLR383W	dma3225	YLR135W	tm2450	tm3080	tm2765	Tspace
tsq572	YKL193C	dma3302	YLR263W	tm2451	tm3081	tm2766	Tspace
tsq119	YPL085W	dma3326	YLR292C	tm2453	tm3083	tm2768	Tspace
tsq878	YFL009W	dma3401	YLR368W	tm2454	tm3084	tm2769	Tspace
tsq353	YIR006C	dma3656	YMR036C	tm2456	tm3086	tm2771	Tspace
tsq203	YML130C	dma3711	YMR129W	tm2457	tm3087	tm2772	Tspace
tsq1188	YOR057W	dma3823	YMR234W	tm2458	tm3088	tm2773	Tspace
tsq47	YDR170C	dma3970	YNL041C	tm2459	tm3089	tm2774	Tspace
tsq1078	YLR305C	dma402	YBR229C	tm2460	tm3090	tm2775	Tspace
tsq354	YJL005W	dma4385	YOL110W	tm2461	tm3091	tm2776	Tspace
tsq139	YOR336W	dma4436	YOR009W	tm2462	tm3092	tm2777	Tspace
tsq600	YMR296C	dma4442	YOR027W	tm2463	tm3093	tm2778	Tspace
tsq546	YGL137W	dma4563	YOR164C	tm2464	tm3094	tm2779	Tspace
