Strain ID	ORF	Gene name	Label
YAL025C_damp1	YAL025C	MAK16	mak16_damp
YBL026W_damp2	YBL026W	LSM2	lsm2_damp
YBL097W_damp3	YBL097W	BRN1	brn1_damp
YBR002C_damp4	YBR002C	RER2	rer2_damp
YBR049C_damp5	YBR049C	REB1	reb1_damp
YBR136W_damp6	YBR136W	MEC1	mec1_damp
YBR198C_damp7	YBR198C	TAF5	taf5_damp
YBR253W_damp8	YBR253W	SRB6	srb6_damp
YCL004W_damp9	YCL004W	PGS1	pgs1_damp
YDL058W_damp10	YDL058W	USO1	uso1_damp
YDL084W_damp11	YDL084W	SUB2	sub2_damp
YDL132W_damp12	YDL132W	CDC53	cdc53_damp
YDL140C_damp13	YDL140C	RPO21	rpo21_damp
YDR016C_damp14	YDR016C	DAD1	dad1_damp
YDR050C_damp15	YDR050C	TPI1	tpi1_damp
YDR088C_damp16	YDR088C	SLU7	slu7_damp
YDR145W_damp17	YDR145W	TAF12	taf12_damp
YDR303C_damp18	YDR303C	RSC3	rsc3_damp
YDR325W_damp19	YDR325W	YCG1	ycg1_damp
YDR328C_damp20	YDR328C	SKP1	skp1_damp
YDR394W_damp21	YDR394W	RPT3	rpt3_damp
YEL019C_damp22	YEL019C	MMS21	mms21_damp
YEL034W_damp23	YEL034W	HYP2	hyp2_damp
YEL055C_damp24	YEL055C	POL5	pol5_damp
YER006W_damp25	YER006W	NUG1	nug1_damp
YER018C_damp26	YER018C	SPC25	spc25_damp
YER021W_damp27	YER021W	RPN3	rpn3_damp
YER022W_damp28	YER022W	SRB4	srb4_damp
YER093C_damp29	YER093C	TSC11	tsc11_damp
YER146W_damp30	YER146W	LSM5	lsm5_damp
YER148W_damp31	YER148W	SPT15	spt15_damp
YER168C_damp32	YER168C	CCA1	cca1_damp
YER171W_damp33	YER171W	RAD3	rad3_damp
YER172C_damp34	YER172C	BRR2	brr2_damp
YFL029C_damp35	YFL029C	CAK1	cak1_damp
YFL034C-B_damp36	YFL034C-B	MOB2	mob2_damp
YFL038C_damp37	YFL038C	YPT1	ypt1_damp
YFR002W_damp38	YFR002W	NIC96	nic96_damp
YFR004W_damp39	YFR004W	RPN11	rpn11_damp
YFR031C_damp40	YFR031C	SMC2	smc2_damp
YFR051C_damp41	YFR051C	RET2	ret2_damp
YGL044C_damp42	YGL044C	RNA15	rna15_damp
YGL055W_damp43	YGL055W	OLE1	ole1_damp
YGL065C_damp44	YGL065C	ALG2	alg2_damp
YGL073W_damp45	YGL073W	HSF1	hsf1_damp
YGL075C_damp46	YGL075C	MPS2	mps2_damp
YGL093W_damp47	YGL093W	SPC105	spc105_damp
YGL098W_damp48	YGL098W	USE1	use1_damp
YGL099W_damp49	YGL099W	LSG1	lsg1_damp
YGL112C_damp50	YGL112C	TAF6	taf6_damp
YGL120C_damp51	YGL120C	PRP43	prp43_damp
YGL247W_damp52	YGL247W	BRR6	brr6_damp
YGR029W_damp53	YGR029W	ERV1	erv1_damp
YGR075C_damp54	YGR075C	PRP38	prp38_damp
YGR098C_damp55	YGR098C	ESP1	esp1_damp
YGR103W_damp56	YGR103W	NOP7	nop7_damp
YGR116W_damp57	YGR116W	SPT6	spt6_damp
YGR147C_damp58	YGR147C	NAT2	nat2_damp
YGR156W_damp59	YGR156W	PTI1	pti1_damp
YGR158C_damp60	YGR158C	MTR3	mtr3_damp
YGR172C_damp61	YGR172C	YIP1	yip1_damp
YGR195W_damp62	YGR195W	SKI6	ski6_damp
YGR218W_damp63	YGR218W	CRM1	crm1_damp
YGR245C_damp64	YGR245C	SDA1	sda1_damp
YGR246C_damp65	YGR246C	BRF1	brf1_damp
YGR274C_damp66	YGR274C	TAF1	taf1_damp
YHR024C_damp67	YHR024C	MAS2	mas2_damp
YHR083W_damp68	YHR083W	SAM35	sam35_damp
YHR170W_damp69	YHR170W	NMD3	nmd3_damp
YHR190W_damp70	YHR190W	ERG9	erg9_damp
YIL004C_damp71	YIL004C	BET1	bet1_damp
YIL021W_damp72	YIL021W	RPB3	rpb3_damp
YIL046W_damp73	YIL046W	MET30	met30_damp
YIL078W_damp74	YIL078W	THS1	ths1_damp
YIL106W_damp75	YIL106W	MOB1	mob1_damp
YIL126W_damp76	YIL126W	STH1	sth1_damp
YIL142W_damp77	YIL142W	CCT2	cct2_damp
YIL143C_damp78	YIL143C	SSL2	ssl2_damp
YIR010W_damp79	YIR010W	DSN1	dsn1_damp
YIR012W_damp80	YIR012W	SQT1	sqt1_damp
YJL014W_damp81	YJL014W	CCT3	cct3_damp
YJL019W_damp82	YJL019W	MPS3	mps3_damp
YJL039C_damp83	YJL039C	NUP192	nup192_damp
YJL041W_damp84	YJL041W	NSP1	nsp1_damp
YJL050W_damp85	YJL050W	MTR4	mtr4_damp
YJL076W_damp86	YJL076W	NET1	net1_damp
YJL104W_damp87	YJL104W	PAM16	pam16_damp
YJR112W_damp88	YJR112W	NNF1	nnf1_damp
YKL042W_damp89	YKL042W	SPC42	spc42_damp
YKL058W_damp90	YKL058W	TOA2	toa2_damp
YKL059C_damp91	YKL059C	MPE1	mpe1_damp
YKL125W_damp92	YKL125W	RRN3	rrn3_damp
YKL165C_damp93	YKL165C	MCD4	mcd4_damp
YKL172W_damp94	YKL172W	EBP2	ebp2_damp
YKL173W_damp95	YKL173W	SNU114	snu114_damp
YKL196C_damp96	YKL196C	YKT6	ykt6_damp
YKR008W_damp97	YKR008W	RSC4	rsc4_damp
YKR037C_damp98	YKR037C	SPC34	spc34_damp
YKR083C_damp99	YKR083C	DAD2	dad2_damp
YKR086W_damp100	YKR086W	PRP16	prp16_damp
YLL003W_damp101	YLL003W	SFI1	sfi1_damp
YLL008W_damp102	YLL008W	DRS1	drs1_damp
YLL034C_damp103	YLL034C	RIX7	rix7_damp
YLR008C_damp104	YLR008C	PAM18	pam18_damp
YLR075W_damp105	YLR075W	RPL10	rpl10_damp
YLR116W_damp106	YLR116W	MSL5	msl5_damp
YLR163C_damp107	YLR163C	MAS1	mas1_damp
YLR175W_damp108	YLR175W	CBF5	cbf5_damp
YLR215C_damp109	YLR215C	CDC123	cdc123_damp
YLR272C_damp110	YLR272C	YCS4	ycs4_damp
